frequency_inverse_angstrom,two_states_amplitude,gaussian_amplitude
1.281249999999999889e-01,4.275550934302818629e-01,2.735812461143306562e-01
1.287500000000000033e-01,4.364092406733419138e-01,2.701351435234791154e-01
1.293749999999999900e-01,4.452213258854680888e-01,2.667159960720977829e-01
1.300000000000000044e-01,4.539904997395466935e-01,2.633238817222567918e-01
1.306249999999999911e-01,4.627159170443500558e-01,2.599588724762574299e-01
1.312500000000000056e-01,4.713967368259976976e-01,2.566210344347740202e-01
1.318749999999999922e-01,4.800321224090108307e-01,2.533104278560657785e-01
1.325000000000000067e-01,4.886212414969550721e-01,2.500271072162186248e-01
1.331249999999999933e-01,4.971632662526541679e-01,2.467711212703847801e-01
1.337500000000000078e-01,5.056573733779847757e-01,2.435425131149818179e-01
1.343749999999999944e-01,5.141027441932216613e-01,2.403413202508198621e-01
1.350000000000000089e-01,5.224985647159487989e-01,2.371675746471164359e-01
1.356249999999999956e-01,5.308440257395093953e-01,2.340213028063693745e-01
1.362500000000000100e-01,5.391383229110002784e-01,2.309025258300473060e-01
1.368749999999999967e-01,5.473806568087966617e-01,2.278112594850678907e-01
1.375000000000000111e-01,5.555702330196022887e-01,2.247475142710241569e-01
1.381249999999999978e-01,5.637062622150165181e-01,2.217112954881282905e-01
1.387500000000000122e-01,5.717879602276124684e-01,2.187026033058353247e-01
1.393749999999999989e-01,5.798145481265135626e-01,2.157214328321142294e-01
1.400000000000000133e-01,5.877852522924730261e-01,2.127677741833309544e-01
1.406250000000000000e-01,5.956993044924333569e-01,2.098416125547108435e-01
1.412500000000000144e-01,6.035559419535714287e-01,2.069429282913445023e-01
1.418750000000000011e-01,6.113544074368165715e-01,2.040716969597065056e-01
1.425000000000000155e-01,6.190939493098340796e-01,2.012278894196497525e-01
1.431250000000000022e-01,6.267738216194693734e-01,1.984114718968475466e-01
1.437500000000000167e-01,6.343932841636457098e-01,1.956224060556443489e-01
1.443750000000000033e-01,6.419516025627030054e-01,1.928606490722891142e-01
1.449999999999999900e-01,6.494480483301835472e-01,1.901261537085134068e-01
1.456250000000000044e-01,6.568818989430412758e-01,1.874188683854266235e-01
1.462499999999999911e-01,6.642524379112814126e-01,1.847387372576942133e-01
1.468750000000000056e-01,6.715589548470184411e-01,1.820857002879678332e-01
1.474999999999999922e-01,6.788007455329415629e-01,1.794596933215387435e-01
1.481250000000000067e-01,6.859771119901929559e-01,1.768606481611795234e-01
1.487499999999999933e-01,6.930873625456357434e-01,1.742884926421492398e-01
1.493750000000000078e-01,7.001308118985235529e-01,1.717431507073273189e-01
1.499999999999999944e-01,7.071067811865474617e-01,1.692245424824499744e-01
1.506250000000000089e-01,7.140145980512682122e-01,1.667325843514179395e-01
1.512499999999999956e-01,7.208535967029188196e-01,1.642671890316485528e-01
1.518750000000000100e-01,7.276231179845749075e-01,1.618282656494420824e-01
1.524999999999999967e-01,7.343225094356853333e-01,1.594157198153362265e-01
1.531250000000000111e-01,7.409511253549592169e-01,1.570294536994193690e-01
1.537499999999999978e-01,7.475083268625966060e-01,1.546693661065777214e-01
1.543750000000000122e-01,7.539934819618696604e-01,1.523353525516469298e-01
1.549999999999999989e-01,7.604059656000309309e-01,1.500273053344453877e-01
1.556250000000000133e-01,7.667451597285614984e-01,1.477451136146598898e-01
1.562500000000000000e-01,7.730104533627369934e-01,1.454886634865615036e-01
1.568750000000000144e-01,7.792012426405167114e-01,1.432578380535241280e-01
1.575000000000000011e-01,7.853169308807450566e-01,1.410525175023239486e-01
1.581250000000000155e-01,7.913569286406603176e-01,1.388725791771931450e-01
1.587500000000000022e-01,7.973206537727069998e-01,1.367178976536070067e-01
1.593750000000000167e-01,8.032075314806450539e-01,1.345883448117792536e-01
1.600000000000000033e-01,8.090169943749473402e-01,1.324837899098451899e-01
1.606249999999999900e-01,8.147484825274894371e-01,1.304040996567082389e-01
1.612500000000000044e-01,8.204014435255135851e-01,1.283491382845304840e-01
1.618749999999999911e-01,8.259753325248729849e-01,1.263187676208459564e-01
1.625000000000000056e-01,8.314696123025453467e-01,1.243128471602736179e-01
1.631249999999999922e-01,8.368837533084091396e-01,1.223312341358141903e-01
1.637500000000000067e-01,8.422172337162864286e-01,1.203737835897067121e-01
1.643749999999999933e-01,8.474695394742344234e-01,1.184403484438303206e-01
1.650000000000000078e-01,8.526401643540921782e-01,1.165307795696281373e-01
1.656249999999999944e-01,8.577286100002720071e-01,1.146449258575395064e-01
1.662500000000000089e-01,8.627343859777918400e-01,1.127826342859192116e-01
1.668749999999999956e-01,8.676570098195438563e-01,1.109437499894298518e-01
1.675000000000000100e-01,8.724960070727971750e-01,1.091281163268881527e-01
1.681249999999999967e-01,8.772509113449240559e-01,1.073355749485516014e-01
1.687500000000000111e-01,8.819212643483551606e-01,1.055659658628269326e-01
1.693749999999999978e-01,8.865066159447463345e-01,1.038191275023892385e-01
1.700000000000000122e-01,8.910065241883677878e-01,1.020948967896927601e-01
1.706249999999999989e-01,8.954205553686969132e-01,1.003931092018636034e-01
1.712500000000000133e-01,8.997482840522215142e-01,9.871359883495679777e-02
1.718750000000000000e-01,9.039892931234433382e-01,9.705619846756864677e-02
1.725000000000000144e-01,9.081431738250813623e-01,9.542073962378787300e-02
1.731250000000000011e-01,9.122095257974676130e-01,9.380705263547689521e-02
1.737500000000000155e-01,9.161879571171359649e-01,9.221496670386898631e-02
1.743750000000000022e-01,9.200780843345948146e-01,9.064430996047244393e-02
1.750000000000000167e-01,9.238795325112868495e-01,8.909490952726888124e-02
1.756250000000000033e-01,9.275919352557240316e-01,8.756659157619807454e-02
1.762499999999999900e-01,9.312149347588033477e-01,8.605918138791711358e-02
1.768750000000000044e-01,9.347481818282924459e-01,8.457250340982652714e-02
1.774999999999999911e-01,9.381913359224840487e-01,8.310638131335451595e-02
1.781250000000000056e-01,9.415440651830208063e-01,8.166063805048943969e-02
1.787499999999999922e-01,9.448060464668779357e-01,8.023509590955515969e-02
1.793750000000000067e-01,9.479769653775103055e-01,7.882957657021975872e-02
1.799999999999999933e-01,9.510565162951535312e-01,7.744390115773266969e-02
1.806250000000000078e-01,9.540444024062804118e-01,7.607789029638180323e-02
1.812499999999999944e-01,9.569403357322088244e-01,7.473136416216678846e-02
1.818750000000000089e-01,9.597440371568574102e-01,7.340414253468111050e-02
1.824999999999999956e-01,9.624552364536471671e-01,7.209604484819907844e-02
1.831250000000000100e-01,9.650736723115473925e-01,7.080689024196223924e-02
1.837499999999999967e-01,9.675990923602597604e-01,6.953649760966214288e-02
1.843750000000000111e-01,9.700312531945440853e-01,6.828468564811379649e-02
1.849999999999999978e-01,9.723699203976765570e-01,6.705127290511861404e-02
1.856250000000000122e-01,9.746148685640450005e-01,6.583607782651176854e-02
1.862499999999999989e-01,9.767658813208723867e-01,6.463891880239322485e-02
1.868750000000000133e-01,9.788227513490723730e-01,6.345961421253842882e-02
1.875000000000000000e-01,9.807852804032304306e-01,6.229798247098888159e-02
1.881250000000000144e-01,9.826532793307117819e-01,6.115384206981896997e-02
1.887500000000000011e-01,9.844265680898915960e-01,6.002701162208017027e-02
1.893750000000000155e-01,9.861049757675087735e-01,5.891730990391987749e-02
1.900000000000000022e-01,9.876883405951376593e-01,5.782455589587673361e-02
1.906250000000000167e-01,9.891765099647810144e-01,5.674856882335024139e-02
1.912500000000000033e-01,9.905693404435772509e-01,5.568916819624720321e-02
1.918750000000000178e-01,9.918666977876260393e-01,5.464617384780377091e-02
1.925000000000000044e-01,9.930684569549262930e-01,5.361940597258608304e-02
1.931249999999999911e-01,9.941745021174281938e-01,5.260868516366924014e-02
1.937500000000000056e-01,9.951847266721968177e-01,5.161383244899752504e-02
1.943749999999999922e-01,9.960990332516871382e-01,5.063466932692744366e-02
1.950000000000000067e-01,9.969173337331279638e-01,4.967101780095562608e-02
1.956249999999999933e-01,9.976395492470157000e-01,4.872270041363545301e-02
1.962500000000000078e-01,9.982656101847159347e-01,4.778954027968369128e-02
1.968749999999999944e-01,9.987954562051724050e-01,4.687136111828203722e-02
1.975000000000000089e-01,9.992290362407229010e-01,4.596798728457578143e-02
1.981249999999999956e-01,9.995663085020212169e-01,4.507924380037463957e-02
1.987500000000000100e-01,9.998072404820648185e-01,4.420495638405836508e-02
1.993749999999999967e-01,9.999518089593280035e-01,4.334495147969327777e-02
2.000000000000000111e-01,1.000000000000000000e+00,4.249905628536252561e-02
2.006249999999999978e-01,9.999518089593280035e-01,4.166709878071644946e-02
2.012500000000000122e-01,9.998072404820648185e-01,4.084890775374678401e-02
2.018749999999999989e-01,9.995663085020212169e-01,4.004431282679146026e-02
2.025000000000000133e-01,9.992290362407229010e-01,3.925314448177400634e-02
2.031250000000000000e-01,9.987954562051724050e-01,3.847523408468477707e-02
2.037500000000000144e-01,9.982656101847159347e-01,3.771041390930866127e-02
2.043750000000000011e-01,9.976395492470157000e-01,3.695851716020680244e-02
2.050000000000000155e-01,9.969173337331279638e-01,3.621937799495720395e-02
2.056250000000000022e-01,9.960990332516872492e-01,3.549283154566242049e-02
2.062500000000000167e-01,9.951847266721969287e-01,3.477871393972936653e-02
2.068750000000000033e-01,9.941745021174281938e-01,3.407686231992988063e-02
2.075000000000000178e-01,9.930684569549262930e-01,3.338711486374763143e-02
2.081250000000000044e-01,9.918666977876260393e-01,3.270931080201974067e-02
2.087499999999999911e-01,9.905693404435772509e-01,3.204329043687987461e-02
2.093750000000000056e-01,9.891765099647810144e-01,3.138889515901058247e-02
2.099999999999999922e-01,9.876883405951377704e-01,3.074596746421275409e-02
